tweet_num,manual_tag,text,time_period
74,0,https://t.co/GY5vXN7SvG and some national banks won't touch 420 business. #cdnpoli,3
75,0,".Funny how the Trudeau government wants to legalize marijuana yet calls people who grow / sell it now ""bad people"". #Pot #cdnpoli #pnpcbc",3
76,1,Help end the #420 #prohibition and legalize marijuana and make love and end war by doing it,3
77,0,The system will enable the tracking of cannabis to prevent legal cannabis from being diverted to the illegal market and illegal cannabis from being introduced into the legal market. #cannapoli #cannabis https://t.co/BGxl5zDM7P,6
78,0,The ex cops  politicians and friends of Bill Blair cashing in on legal weed https://t.co/Xgb4RrPDGu. So much corruption and failures since the Liberals took over  it's stifling. #politics #liberals <at>PCC_HQ,6
79,0,Legal Weed Hurting Profits For Big Pharma Opioid Dealers https://t.co/WsB80FHdLj,2
80,0,Such a #dynamic #panel about #cannabis #legalization at <at>Cannahempconf <at> Chan Center UBC https://t.co/QUUndrHHLC,6
81,0,When you smoke  you feel the effects immediately. When you eat  it may take up to 2hrs to feel the effects. With an influx of edibles available  getting people used to that difference will be a challenge. #cannabis #MedicalMarijuana #cdnhealth #legalization #QF18,5
82,1,& for my final note this morning Marijuanna cannabis sativa should be legal. Bigs ups to govt brainwashing  mighty effective. Laws help.,2
83,0,With questions ranging from the legalization of marijuana  to minimum wage  <at>cheryljensen and <at>Kathleen_Wynne participated in a discussion with citizens about the issues that are affecting them the most  at tonight's Premier's Town Hall. https://t.co/aqvm8TmrBe,5
84,1,Hell yes! <at>ShopprsDrugMart taking their first step in legitimizing medical marijuana as a form of medication! #legalization #cdnpoli #weed https://t.co/p94YwKKuCz,3
85,0,Once you understand #usury and #embryology to make #REALCHANGE: expose dirty banker's trick  #YgayISOK and #legalize #cannabis. <at>Puglaas,1
86,0,From policy & legalization  to sex & everything in between- Join the buzz July 7-8 <at>WestinBayshore #Vancity #Events #CannaLifeConf #Cannabis https://t.co/G0cdz0NBiE,4
87,0,<at>MarkOkanagan <at>2019 Whatever he comes up with will be voted on at a convention/hopefully they aren't dumb enough to vote against legal pot/then we're doomed,4
88,0,"This is my problem with the rationale ""legalize pot and tax the shit out of it."" This completely ignores the fact that cannabis helps a lot of people with pain and other conditions. Fuck the money. Greedy bastards. https://t.co/FSh7ioGysE",6
89,0,<at>Legal_Weed_News Thanks. Rock on.,1
90,0,Cannabis conversations are important as we move forward with legalization.,3
91,0,While people wait for legalization of the safer choice that is Cannabis  someone introduces a beer made for drinking in the shower.,3
92,0,2nd Cdn province to lay out their #Marijuana legalization plans Monday - hoping they set a diff precidence than ON - FOR people's rights! https://t.co/L1eJudegZr,4
93,-1,https://t.co/Q3dURpYWHv out of the things he can do in Canada he decides to legalize weed. Fuck off buddy and fix our economy. Stupid fuck:pouting_face:,1
94,0,Mark my words. If you cannot grow your own it's not #Legalization #acmpr #LegalizeCanada #cdnpoli #cannabis,3
95,0,<at>DanaLarsen Yawns......get in where you fit in #legalization #cannabis = #projectprohibition2018,5
96,1,Canada is getting more progressive by the second! <at>RyanGosling :beaming_face_with_smiling_eyes: :Canada: #countdown #legalization #marijuana #weedtweet https://t.co/LEB10qqgVu,4
97,-1,So Marijuana is gonna be legal in Canada come 2018. I dnt know how I feel considering I dnt smoke but pple are gonna be crazy in dis streetz,3
98,1,<at>BPatelcanadian <at>GlennMcmillan14 <at>JustinTrudeau I think you've watched 'Reefer Madness' one too many times..pot isn't addictive..I have no prob with legal pot,4
99,1,<at>boxbrown I imagine it's only available from government sources for medicinal weed  but yeah I'm super excited for fully legal soonish,2
100,0,Canada can decriminalize #marijuana while we wait for legalization. Why aren't we doing it? https://t.co/AEIQZG3psz https://t.co/jqfPi1iijt,1
101,1,<at>ctvqp money spent on legal pot is money not going to criminals.,4
102,0,Cannabis will be everywhere': California towns scramble to prepare for legal marijuana on Jan. 1. In Canada  it's expected the law will be enacted on or around Jul. 1. <at>drgbarrette <at>luciecharlebois <at>DianeLamarreQc <at>fparadislevis <at>SJB_CAQ <at>SantePub_Qc https://t.co/Iwtl6RkLx1,5
103,0,#legalization #cannabis #potstocks #marijuana #7Acres #prohibition #johnfowler is smokin hot! https://t.co/JizEuKm1NZ,3
104,1,https://t.co/dljSTlHz7E. The govt will ensure it's restricted to children and profits are out of hands of criminal organizations,2
105,0,<at>GorgeGreenery Hello from Toronto. Even though we are waiting for legalization I know the weed is better out west! https://t.co/1kzcWaqRXn,1
106,0,<at>coopsinregina Rush the process? Cabinet needs time? We have absolutely no answers on #cannabis legalization  What has <at>GeneMakowsky been doing!?! Entrepreneurs are trying to generate that new tax windfall. Is this #skpoli arrogance  incompetence or are the rumours of corruption true?,5
107,0,"Shoppers Drug Mart won't sell tobacco  fears aroma of cannabis due to health concerns; Trudeau still arrests Canadians for marijuana because it's dangerous  only to be sold plain packaged  unlike deadly booze:exclamation_question_mark:_ ...it's no wonder why ""legal"" weed smells like bullshit #cdnpoli https://t.co/4s2qQzF8Gj",5
108,0,<at>L_Bell26 I have no issues with weed but rules are the rules man  should be legal. But to fail when you know you are getting tested is inexcusable,4
109,0,Marijuana Legalization and Parents' Attitudes  Use  and Parenting in Washington State https://t.co/YrPoCcmFfM #Cannabis #parenting #hcsm,2
110,0,Court of Appeals: world's first legal #cannabis banking institution https://t.co/aI0e6cARVU #pharma #fintech <at>TD_Canada <at>HSBC <at>Vancity https://t.co/4JfeQW487g,4
111,0,Any Canadian pot #legalization plan must make amends for disproportionate criminalization of Black + Indigenous ppl. https://t.co/D2y6l5tzkM,4
112,-1,It is important to emphasize that we do not legalize cannabis and other drugs  but we decriminalize. Those who have a substance abuse problem should be treated as ill  and not as criminals with classical sanctions such as fines and imprisonments https://t.co/SD3GIusVwa,5
113,0,Really smart discussion between <at>AndrayDomise and <at>beynate on marijuana legalization on the latest <at>CNDLNDCMNS: https://t.co/bXhep4gmi7,1
114,1,Finally  something sane about our proposed legalization of pot. https://t.co/AfTRHeZ9aN,4
115,0,Canada to introduce marijuana legalization: Will this be another broken promise? https://t.co/Qk8tLJBhTC,2
116,0,Needed comprehensive collaboration on research #cndpoli #bcpoli #legalization #cannabis https://t.co/akzKHk3LSg,3
117,0,Understanding the legalization of #cannabis for HR and safety professionals <at>3PExchange #conference2017 https://t.co/Ix13RRe00M,5
118,0,#Stigmabase USCA - Number of Canadians buying legal medical marijuana triples in just one year - An employee... https://t.co/AJBNEAU8pL,3
119,-1,<at>MikeMcDerment <at>sheysewani Ha! Yeah  I'd hope this election is about a bit more than making yer weed legal.,1
120,0,<at>1loriking <at>SookePocketNews Only if there is inventory available. As it stands right now it will be months  perhaps a year before enough recreational cannabis will be available to the legal market. Without inventory the black market will continue to thrive.,6
121,0,Nice article <at>DSutton1986 #sungrown #CannsbisAct https://t.co/i6b5U4ZhBe,4
122,0,The dealer wants in on Quebec's marijuana plan. https://t.co/XPOx7PZDAm,5
123,0,Instead  many prefer categorical  all-or-none thinking. The reality is that the legalization of recreational cannabis is complex and exciting and worrisome all at once. It doesn't make one a propagandist to acknowledge that fact. https://t.co/lMdilxcIqz,6
124,0,Very soon  marijuana will be legal. Will Montreal cops stop cyclists to see if they're 'inebriated'? .. hmm <at>DenisCoderre #slipperySlope,2
125,-1,<at>KikkiPlanet <at>hangingoninquie Pot legalization was always about taxing it to feed govt coffers  populist sleight of hand that everyone fell over themselves to support,5
126,0,<at>realGingerKelly <at>manny_ottawa <at>winstonmeiiis He was he was voted in because of marijuana legalization. That's what put him over the top.,5
127,0,I'm talking #marijuana legalization on <at>CBCCrosstalk w/ <at>KickerMikeMoore <at>BirdBonesJones & host <at>RamonaDearing 12-1pm today #nlpoli #cdnpoli https://t.co/UtDlpC0fJm,3
128,0,'Park those biases and you stay objective': Colorado's advice to Canada on legal pot https://t.co/0sRdPX4ckL,3
129,0,<at>SiemnyKIRO7 I know marijuana is legal there now but why don't ppl save their lungs? Man made cannaboids do the same. Mine is for nausea,1
130,0,Why these patients  retailers and researchers say Canada shouldn't drop medical cannabis post-legalization <at>aidangeary_ https://t.co/ocxa5yXxXW #Cannabis,6
131,0,Canadians could face more scrutiny at the US Border when weed becomes legal https://t.co/vqA91qOiIP,5
132,0,Will you be growing up to four pot plants at your house when it's legal to do so?,4
133,0,Pot legalization cultivates new crop of interest <at>WordBanks <at>jooliemccann #legalization <at>AlgonquinColleg https://t.co/Cv6zxtTjfD,5
134,0,when weed becomes legal there's going to be so many confused german shepards,4
135,0,"Davies asked Goodale whether there's any deal so that Cdns won't be barred at US border for admitting smoking pot once legal. Goodale: ""You should not engage in behaviour that would provoke or prompt an American border officer to be suspicious of your behaviour.""",6
136,1,<at>DanaLarsen hey bro never got any seeds before your arrest can you help me!#overgrowcanada#weed# legalization# legalize it,2
137,0,<at>BarbDGtoronto your last caller siding Doug's history come on  if we were all judged on what we did in high school it would be a sorry place.Can we move onto the issues we're in the 21st-century. Look to the Liberal govt who wants to legalize pot. Give me a break.,5
138,0,Now we are talkin' #legalization #Cannabis #Law #alcool #harmreduction #C45 #C46 <at>RosieBarton <at>PatriceRoyTJ <at>SebBovetSRC <at>luciecharlebois <at>drsanjaygupta <at>sophiedamoursUL #cdnpoli #CDNmuni #polqc #polmtl #Homeless #Education <at>villequebec #Medical #jeunes https://t.co/ZGAU3xHAAJ,6
139,0,<at>HuffPostCanada says: Dont let those who stood in our way for so long share in the bounty of Cannabis Legalization. https://t.co/uE9bAYw7U7,1
140,0,Thought provoking article by <at>charliesmithvcr <at>georgiastraight https://t.co/FkT3aEhKez #c45 #cndpoli #cannabis,5
141,0,https://t.co/NDhRY2ErSz The <at>OntLiberal claim they're better suited to dispense cannabis than the private sector  but only 4 store locations confirmed and one next to a school doesn't support that claim. #OnPoli #DrugPolicyReform #LetsGrowTogether,6
142,1,"Grandma: ""Well at least my pot will be legal"" :face_with_tears_of_joy: #priorities",1
143,0,<at>SenSanders <at>ChrisCuomo great point...Joseph Kennedy was a bootlegger. Pot will be legal soon..just like alcohol,1
144,0,After pot  legalize heroin Via <at>CDCofBC #opioid #pharma #paincontrol https://t.co/mGtthMIzlt,4
145,0,<at>mccheese4mayor <at>DavidFox_Canada <at>Badenoch1 <at>fordnation Really  that's all you have. Weed will be legal soon. And all you have is he's a dealer of hash. He hasn't stole anything from me. But you sleep at night knowing your Queen and King are lying to you everytime their mouths move.,6
146,0,<at>webwildink Of course  but pot is legal :rolling_on_the_floor_laughing::face_with_tears_of_joy:,4
147,0,Possible effects of legalizing pot in BC: During his election campaign  Justin Trudeau said he'd legalize... https://t.co/Qve7Ztuy45,1
148,0,Hey <at>OntarioNDP  what is your position on legal pot distribution  my <at>OntLiberal vote may change.,4
149,-1,Oct 17 2018 Canada is legal to smoke and eat pot. Thanks Justin now all the pot sniffing dogs will be unemployed <at>rickygervais <at>russelpeters_,6
150,0,I'm as excited for legal weed as the next middle-class white girl who'd never get cited for possession anyway  but my actual favourite part of legalization has been explaining to my parents how drug paraphernalia works.,6
151,1,I'm extremely pro legalization. But I always found this 4/20 bs to be exactly that; bullshit that hurts the cause https://t.co/oao7aiKyyN,4
152,0,"<at>billmaher ""As a libertarian..."" WTF  Bill  you're not at all close to being a libertarian  fortunately  except on pot legalization.",4
153,-1,Well I'm glad it's not just about profiting off of the legalization of pot or just getting high. #Sarcasm https://t.co/d9MRrDvgPK,5
154,-1,<at>JustinTrudeau so this is what your doing to legalize Marijuana? Taking medicine away from the ppl that voted you in https://t.co/hnTR37nIrf,2
155,0,<at>Mikeggibbs Me too. I can't imagine they'll be upheld for long- marijuana could be legal by the time their case is heard.,3
156,0,A systematic crackdown on any remaining illegal dispensaries will occur across the country  but perhaps not until the legal retail footprint is fully established and edibles and concentrates are introduced. <at>trinafraser on illegal dispensaries after legalization of #Cannabis https://t.co/XfuglL4g8H,6
157,1,About 15 years ago I laid out a plan for legalization of cannabis while making submissions in a sentencing hearing. The judge repeated my submissions in her decision (sell it in liquor stores  etc.) and suddenly I was a public cannabis advocate. And I never stopped advocating. https://t.co/5MYlDazAgd,6
158,0,<at>EBW_ERIC <at>RickGoldring <at>GregDWoodruff <at>JustinTrudeau Fed/prov governments have legalized/approved distribution of cannabis. We need to ensure our #BurlON residents have safe  regulated access to legal cannabis. Top priority for me as mayor to put appropriate controls in place quickly  around location/operation of dispensaries.,6
159,0,"<at>JodieEmery What? Harper called cannabis ""infinitely worse"" than tobacco & Trudeau is going to make it legal. Hardly the same.",3
160,1,IT'S COMING! #MTL #Quebec #legalize Businesses look forward to Canada's legal-pot push in 2017 /via <at>globeandmail https://t.co/i5hF506KGa,3
161,-1,"Quebec's draconian & severe ""legalization"" is worse than the prohibition we have now.Worse than ON & NB. Must be defied by all Quebecois in the Cannabis culture. It is so cynical it is meant to assure the Quebec market will continue to be controlled by gangs. #ExperienceQuebec",5
162,0,<at>RegionWaterloo <at>amoplicy 50% of 52 legal cannabis CAN producers in ON regulatory regime cautious approach to all forms/zoning/sales https://t.co/iIXs0Q0evV,4
163,0,<at>notafullcolon First pot  now prostitution: Liberal party to debate legalization http://t.co/k59mwmbERf,1
164,0,5 arrested  5 suspects sought after legal medical marijuana grow op robbed in Ontario https://t.co/qr10U90qve,2
165,0,Make pot legal all you want. But if you're going to tell me it's harmless for teenagers you have to answer to me.,3
166,0,For the weekend crowd  my explainer / takedown of MLA Orr's claim that the opium trade in 18th century China has historical parallels with cannabis legalization in Canada next year. (Spoiler: it doesn't). https://t.co/qKvPKK27u5,5
167,0,<at>brianlilley Police raid pot shops Justin wants it legal Doesn't that make him the biggest dealer in Canada Arrest the Peace Tower BONG BONG,3
168,0,"Today: <at>salvationarmy ""Hope in the City Leadership Breakfast"": ""Legalization of Cannabis: Municipal Impacts"" session https://t.co/gzZMa097e0 https://t.co/qHpxMixbxZ",4
169,0,Legal recreational #marijuana: what you need to know #Canada https://t.co/Xt05YU1egz,6
170,0,Looking for a #MedicalMarijuana patient to interview about Trudeau's proposed #marijuana legalization in #Canada. PM me to chat.,1
171,0,Kelowna: Cannabis battle keeps on brewing - city takes legal action against dispensaries 'on the verge of a green revolution ... https://t.co/d8Leyphy8u #Cannabis #bchc #BChealth #pharma #cdnhealth https://t.co/NnGm42Piu7,5
172,1,BC by-election in VANCOUVER MOUNT PLEASANT and BURQUITLAM ridings tomorrow. VOTE <at>BCGreens PETE FRY and JOE KEITHLEY for pot legalization!,1
173,0,"my grandma just told me once weed is legal were having a ""pot party""",1
174,1,It is time to take action #Canada-#legalization & #regulation and #safeaccess of all #drugs will end the most black market #fentanyl. Start tapping into healthier alternatives like #Cannabis or #Kratom and let's start #HEALING #addicts instead of watching us die! #overdosecrisis https://t.co/MzBsQaQSXR,6
175,0,<at>JustinTrudeau <at>Canada When will we get an exact date for #Cannabis Legalization? #LegalizeMarijuana,6
176,0,The Winter Edition of <at>TDSLAW is now out. Check out upcoming seminars including #cybersecurity  #legal updates (e.g. #marijuana use in the #workplace) and recent cases & transactions here: https://t.co/U7xT2yMaL7,5
177,0,.<at>barbshellian welcomes #publichealth approach in #cannabis legalization bill introduced yesterday https://t.co/322cr5g8nU https://t.co/lno89PHa3t,4
178,1,Yeah I'm cool with weed being legal in Canada.I still support my neighborhood dealer tho <at>420KlickStonedK,1
179,1,<at>EdgeOfSaturn <at>MerlinYYC <at>JustinTrudeau <at>JodieEmery I know lots of folks who buy pot. They buy from people who grow it at well below $10 a gram the govt is planning to charge. I don't partake myself  but I do support its availability and legalization. If coffee was invented today  it would be a controlled substance.,5
180,-1,Wonder why the world is fucked when this SHIT IS LEGAL. Some ppl need weed to be calm <at>mmjnj https://t.co/4jb4U1Y6zO,1
181,0,Do you study cannabis legalization? Are you working in the field? Join us in Quebec City  this August  for a pracademic workshop! https://t.co/sOCy5u1acS,5
182,-1,Cannabis Legalization will ALWAYS be flawed if delayed seeking perfection. DECRIMINALIZE NOW; STOP MARIJUANA ARRESTS https://t.co/mB7YonzN5c,3
183,0,People conflate proportional representation with progressive policies but how many pure PR nations have gay marriage  legal pot (soon)?,1
184,1,When your mom wants weed to be legal more than you do and she doesn't even smoke. #pride https://t.co/DTFsyIWfeZ,2
185,1,.<at>kristynwongtam As with Marijuana  it's probably best to *legalize* all drugs  rather than decriminalize all drugs. Gov control & benefit. https://t.co/LjQnvwdfMF,4
186,0,Was a very lively discussion about #cannabis legalization in Canada. Not surprisingly  patient issues dominated the Q&A. Thx <at>DalChancellor!,4
187,-1,Black market will thrive if Alberta government runs marijuana stores  says mid-level dealer https://t.co/zgWdhWGzJX,5
188,0,#Canadian government warned not to #tax #marijuana too high  or the #illegal #market will continue to thrive. https://t.co/VkLHOCGDx9,3
189,1,The dollar in #Canada prohibits travel & government wants citizens to spend money in Canada so legalize #marijuana & get the party started!,2
190,0,O Canada! I have an inkling what most would be doing on July 1  2018! Marijuana could be legal by Canada Day 2018 https://t.co/Cu8NqHS6Mb,3
191,0,Cannabis will be legal on October 17. In #yyc  public consumption rules will be similar to alcohol. It will be illegal to consume recreational cannabis (smoking  vaping or edibles) in any form in public places  except for in designated cannabis consumption areas. #yyccannabis,6
192,-1,<at>ProfAvenarius <at>wallylayman The difference will be once it is legal they will not have to be so covert about their activities. The flow of weed across this country will be enormous. The black market will pit the legal market out of business IMO,5
193,0,If anyone will benefit from legalization of marijuana  it's <at>TonyclementCPC because got dayumn if he isn't on drugs https://t.co/KPMd1528id,1
194,0,The biggest American #cannabis business is in #Canada https://t.co/9qsOtlMKxU via <at>qz,6
195,0,https://t.co/P0ukfYtgkf Tasmania to legalize medical marijuana for people with chronic illnesses  https://t.co/ygaGKeSYEE,2
196,0,"Defined by company we keep:""Dana Larsen #pot activist sends weed to Liberal MPs in legalization push"" https://t.co/u6VQGMLWpJ #lpc #cdnpoli",1
197,1,Let me be clear: I'm supportive of both medical cannabis & legalization of recreational use. But we need better notification of large amounts of cannabis being grown in residential homes. Serious building code & safety issues must be addressed while helping those in medical need https://t.co/ZDbcXOlH5W,6
198,0,BC GOLF ASSOCIATION ASKS MEMBERS IF CANNABIS SHOULD BE ALLOWED ON GOLF COURSES The BC Golf Association is surveying their member opinions on cannabis because legalization is coming up... https://t.co/cfteEp46EB,6
199,1,I'm 100% for weed legalization  but why are the charges/jail time  still more than those fo sexual assault/abuse????? <at>JustinTrudeau,4
200,0,Also on the agenda for HRM in the next year is to develop strategies for fentanyl abuse and the legalization of marijuana.,3
